,date,distance,id,latitude,longitude,place_id,post_id,text,uid
54,1537476431.0,8485,963173_1545,59.868529,30.322144,13289400.0,1545.0,Последние посиделки в теплые денечки в Питере.<br>Эх...<br>Люблю я тепло 😊,963173.0
55,1537476373.0,7160654,2234043_7951,0.0,0.0,0.0,7951.0,"Выпускные классы и группы детских садов, у нас на сайте GoodbyeSchool.ru вы можете выбрать и посмотреть образцы выпускных альбомов. Заказывать можно уже сейчас так как потом будет большая нагрузка и возможно увеличение стоимости. На днях добавим ещё несколько вариантов альбомов. Так что сообщите нам если у вас в планах заказать выпускной альбом по тел +79214400145<br><br>#vkpost #выпуск2019",2234043.0
56,1537476357.0,7160654,43301687_6126,0.0,0.0,0.0,6126.0,"нам ведь просто хочется, чтобы нас понимали✨<br>то, о чём мы говорим, пишем, думаем и даже мечтаем✨<br>понимали наше молчание, разделяли его вместе с нами и нарушали его, когда это необходимо✨<br>берегите людей, которые принимают вас со всеми вашими особенностями, переменчивым настроением и странностями✨<br>берегите хотя бы потому, что именно эти люди знают вас лучше остальных и остаются рядом, несмотря ни на что✨ ",43301687.0
57,1537476103.0,7160654,81107414_10761,0.0,0.0,0.0,10761.0,С днем рождения друг)  ,81107414.0
58,1537476014.0,7160654,926173_4094,0.0,0.0,0.0,4094.0,,926173.0
59,1537476009.0,7160654,531673_4227,0.0,0.0,0.0,4227.0,#МояЛюбовь #дерзкийбританец ,531673.0
60,1537475983.0,7160654,11437549_3404,0.0,0.0,0.0,3404.0,Хищники на охоте😈🐅фильмец кстати зачётный #хищник#брат ,11437549.0
61,1537475980.0,7160654,366309880_336,0.0,0.0,0.0,336.0,#наращиваниересницспб #наращиваниересницпетербург  #наращиваниересницсенная  #навоащиваниересницпушкинская #наращиваниересницпитер #2дресницы #3дресницы ,366309880.0
62,1537475972.0,7160654,911494_5367,0.0,0.0,0.0,5367.0,Случайные кадры самые-самые... Осень! Спасибо o.darial #осень #актрисатеатраикино #НатальяДудник #цветнастроенияосень #вфокусе,911494.0
63,1537475921.0,7160654,83820954_10305,0.0,0.0,0.0,10305.0,"Иногда стоит совершить ошибку, хотя бы ради того, чтобы знать почему ее не следовало совершать. <br>  ",83820954.0
64,1537475902.0,7160654,64046007_2606,0.0,0.0,0.0,2606.0,,64046007.0
65,1537475895.0,7160654,13104466_6332,0.0,0.0,0.0,6332.0,Делюсь сегодняшним настроением 💛 #annyolegphoto_portrait  ,13104466.0
66,1537475867.0,7160654,43512969_9100,0.0,0.0,0.0,9100.0,paradise in your eyes✨,43512969.0
67,1537475842.0,7160654,258312943_365,0.0,0.0,0.0,365.0,🔥🙈🤗💫🔥✨ ,258312943.0
68,1537475777.0,7675,464506242_267,59.86875,30.376033,19775635.0,267.0,#маникюрмеждународная #градиеньмеждународная #маникюрбухаретская #маникюркупчино #френч #фрагцузскийманикюр #френчмеждународная #френчкупчино #наращиваниеногтей,464506242.0
69,1537475766.0,7160654,161693019_1949,0.0,0.0,0.0,1949.0,"Мысли на ночь❤️<br>.<br>Мне все больше и больше начинает нравится, то чем я сейчас занимаюсь. И это знаете, какое удовольствие доставляет, заниматься тем что нравится, ещё и деньги за это получать💶<br>.<br>Прям каеееф😍 От каждого процесса кайфую...<br>.<br>Мысли одна за другой проносятся, и когда начинаю понимать к чему я могу прийти к чему я стремлюсь мурашки по всему телу и спать не хочется, хочется делать делать делать🚀🚀🚀<br>.<br>Всем сладких снов😉 <br>А я...<br>Я пожалуй нет, не время спать ...<br>.<br>#наночьглядя #мыслинаночь #некогдаспать #сондляслабаков #большаясемья #wwpcapital_stars  ",161693019.0
70,1537475752.0,7160654,3835313_5307,0.0,0.0,0.0,5307.0,Невский всегда кипит. А у нас вечернее время для неспешной прогулки 🖤. <br> #людивчерном #очарованиегорода #питер ,3835313.0
71,1537475744.0,7160654,25511751_11309,0.0,0.0,0.0,11309.0,"О, эти котики на крышах Питера❤️😘🐈",25511751.0
72,1537475680.0,7160654,313976796_77,0.0,0.0,0.0,77.0,Дополни свой стиль с SHARKS™️ #мужскиеБраслеты #SHARKS #браслеты #трцГАЛЕРЕЯ #тркЛЕТО #трцЕВРОПОЛИС,313976796.0
73,1537475617.0,7160654,23093604_7639,0.0,0.0,0.0,7639.0,Счастлива что удалось побывать в таком красивом городе😍🌊#санктпетербург#питергоф #финскийзалив  ,23093604.0
