,address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated
219,Суворовский проспект 47,4,,,1476095942,388,,,https://vk.com/images/places/place.png,59.941257,30.380053,16301473,16301473,Суворовский проспект 47,21,1523793058.0
220,проспект литейный 28,7,,,1372235715,411,,,https://vk.com/images/places/place.png,59.940483,30.379823,5841887,5841887,литейный 28,21,1519933841.0
221,Суворовский проспект,4,,,1397308326,412,,,https://vk.com/images/places/place.png,59.940876,30.379657,8259829,8259829,"Bullhouse, Суворовский пр., д. 36",21,1476365966.0
222,"Суворовский проспект, 39",2,,,1376066342,408,,,https://vk.com/images/places/place.png,59.939844,30.380295,6163065,6163065,Студия танца и счастья Артема Некрасова,21,1402954023.0
223,проспект Литейный 25,2,,,1372237301,411,,,https://vk.com/images/places/place.png,59.940483,30.379823,5842076,5842076,глазная травма,21,1434717370.0
224,"Суворовский пр. 55, Санкт-Петербург",2,2.0,1.0,1532563288,444,53890419.0,https://pp.userapi.com/c837524/v837524585/3cf2d/cL-cQhgIb2U.jpg?ava=1,https://vk.com/images/places/place.png,59.94028,30.379298,18133857,18133857,Corolina.ru - мулине DMC,21,1511981127.0
225,Суворовский проспект 53,2,,,1458921379,447,,,https://vk.com/images/places/place.png,59.940342,30.379221,14524781,14524781,Sobko lounge 55,21,1498785005.0
226,Суворовский просп. 51,2,2.0,1.0,1280742123,477,,,https://vk.com/images/places/restaraunt.png,59.94015,30.378759,7192,7192,Банзай,3,1348472917.0
227,Суворовский 51,1,,,1425716764,479,,,https://vk.com/images/places/place.png,59.940133,30.378735,11197110,11197110,Цветочный домик Ginza,21,1505653087.0
228,улица Ярославская 2,0,,,1426977251,46,,,https://vk.com/images/places/place.png,59.941588,30.386417,11335005,11335005,Torino-Savona,21,
229,Кирочная ул. 62/1,0,2.0,1.0,1532560671,146,58315125.0,https://pp.userapi.com/c628024/v628024170/47aa/ywA8TRhmuWE.jpg?ava=1,https://vk.com/images/places/place.png,59.941114,30.384419,10417584,10417584,In Interior Studio,21,1526193276.0
230,"Белорусская ул., 14",0,,,1462813264,162,,,https://vk.com/images/places/place.png,59.941062,30.384136,14921490,14921490,кирочная ул 24,21,1462813269.0
231,улица Костромская,0,,,1535562486,172,,,https://vk.com/images/places/place.png,59.941795,30.389949,21631591,21631591,Sankt-,21,
232,"Новгородская улица, 23, Лента",0,2.0,1.0,1537082392,195,135299238.0,https://pp.userapi.com/c845420/v845420106/eee61/yHT_ac0G8XM.jpg?ava=1,https://vk.com/images/places/place.png,59.940888,30.390436,21673991,21673991,Pilim Nail Studio SPb,21,
233,"Новгородская улица, 23, Лента",0,2.0,1.0,1533211567,195,102538517.0,https://pp.userapi.com/ch_dtqwDo7u1pH-6NteKF0Qu3r4zaypLlbE2ig/3_ooqQg4Htc.jpg?ava=1,https://vk.com/images/places/place.png,59.940888,30.390436,14920016,14920016,UPROFI • Подключаем к Uber • Яндекс Такси • Gett,21,
234,"Новгородская ул. дом 23, офис 209, АмПиР-Инвест",0,2.0,1.0,1532574111,206,30491684.0,https://pp.userapi.com/c322323/v322323836/797f/olTY4l2kFRk.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,11721937,11721937,АмПиР - Инвестиционная компания,21,
235,"ул. Новгородская д. 23. оф 343, Студия печати B&amp;S",0,2.0,1.0,1536238188,206,157867592.0,https://pp.userapi.com/c841426/v841426814/43fb9/P21B9E-rOYM.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,19751766,19751766,"Студия печати B&amp;S print: дизайн, полиграфия.",21,
236,"ул. Новгородская, д 23, TMEnergy",0,2.0,1.0,1534396033,206,53955858.0,https://pp.userapi.com/uvPWiUJTn9pPKK8W69cQZSZb9peeqLS6ks4nHQ/gTTY6Bn9LyU.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,5548140,5548140,Тепловые насосы DIMPLEX,21,
237,"СПб, Новгородская ул. 23, центральный вход, 3 этаж, офис 344, Школа танцев ""Экспромт""",0,2.0,1.0,1532558678,206,17391372.0,https://pp.userapi.com/c846018/v846018510/f4ccd/0ftSAZqY7wQ.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,15771137,15771137,Цыганский танец. Школа цыганского танца Экспромт,21,
238,"ул. Новгородская 23, МÖ",0,2.0,1.0,1532565914,206,73283859.0,https://pp.userapi.com/c834103/v834103743/546e3/td5KnHmjL6k.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,8851989,8851989,Ресторан северной кухни МÖ,21,1411110682.0
239,улица Новгородская 26,0,,,1424103746,230,,,https://vk.com/images/places/place.png,59.941689,30.391096,11018759,11018759,"ООО ""Солеанс тревел""",21,
240,,0,,,1444391418,239,,,https://vk.com/images/places/place.png,59.942567,30.383554,13081560,13081560,юрия гагарина 14 корпус 1,21,
241,переулок 26,0,,,1373618775,246,,,https://vk.com/images/places/place.png,59.940357,30.383012,5954704,5954704,Институт охраны и труда,21,1373618780.0
242,"Новгородская улица, 25",0,2.0,1.0,1532572764,264,38195770.0,https://pp.userapi.com/c840720/v840720438/856f4/JJx1_xpyf9s.jpg?ava=1,https://vk.com/images/places/place.png,59.94179,30.391668,2221573,2221573,"Натяжные потолки в СПБ ""Норд Силинг"" т.389-59-89",21,
243,"Новгородская ул., дом 25, Cocktail of Beauty",0,2.0,1.0,1532567050,264,36468085.0,https://sun9-4.userapi.com/c830709/v830709903/1537be/XscNFiAQYVE.jpg?ava=1,https://vk.com/images/places/place.png,59.94179,30.391668,16630142,16630142,Юлия Лаврентьева•Маникюр•Наращивание ресниц,21,
244,,0,,,1395241276,268,,,https://vk.com/images/places/place.png,59.941866,30.38233,8031264,8031264,"суворовски пр., д. 63 кв. 6",21,
