,categories,checkinsCount,createdAt,id,lat,lng,name,usersCount,main_categorie
27569,['Historic Site'],0,,500e53b1e4b03fb3d3472208,59.981729124162726,29.757928848266598,"Батарея ""Князь Меньшиков""",0,Arts & Entertainment
27654,['Residential Building (Apartment / Condo)'],0,,522087f011d2e0bf185d8633,59.991979752522795,29.756720778817623,ЖК «Амазонка»,0,Residence
27675,['Residential Building (Apartment / Condo)'],0,,51118b17e4b00eb416ae83ec,59.993294816534004,29.764025250172576,ленина 28,0,Residence
27679,['Hobby Shop'],0,,57442afe498e198900ef13d5,59.994358,29.764256,Магазин Лоскуток,0,Shop & Service
27715,['Optical Shop'],0,,52f8d965498e32623b8a7b81,59.99364332274136,29.76421739655637,Счастливый взгляд,0,Shop & Service
27720,['Mobile Phone Shop'],0,,526e467411d28230979ced6e,59.993398182325905,29.763356545002097,Евросеть,0,Shop & Service
27725,['Military Base'],0,,55f07f07498e63fb6d3f8ccd,59.99232858668357,29.76712218707999,Военный городок N28,0,Professional & Other Places
27734,['Playground'],0,,4ff9ad75e4b083d14d40c9b1,59.99492939175475,29.76519571209786,Детская площадка,0,Outdoors & Recreation
27741,['Hostel'],0,,597128b786f4cc05ada4f6f7,59.994663,29.765038,"Хостел ""Надежда""",0,Travel & Transport
27807,['Bus Line'],0,,531ccaf1498ef80da38fd5a0,59.99748270769758,29.720338613671256,Автобус № 3Кр,0,Travel & Transport
27877,['Soccer Field'],0,,4fb8d4b8e4b021353c4a00f0,60.002180329823574,29.755576432102604,Футбольное поле 16 квартал,0,Outdoors & Recreation
27888,['Car Wash'],0,,4f7340bde4b08f62be67ac8d,59.999893555387736,29.76392391272189,Мойка 777,0,Shop & Service
28245,['Veterinarian'],0,,52de719d498e7675e6f1e44e,60.006949,29.786374,ветеринарная станция кронштадтского района,0,Professional & Other Places
28337,['Building'],0,,5124aebee4b0a55813aa1400,60.005558013916016,29.794719696044922,"ул. Советская, 35",0,Professional & Other Places
28378,['College Gym'],0,,58a54ff5fc9b210eb0d2de92,59.985725,29.793024,физкультура,0,College & University
28380,['Office'],0,,585a5aa22e9fde03ebecc542,59.986996,29.787299,У завуча,0,Professional & Other Places
28382,['Auditorium'],0,,57d7b56d498ee3d67332fef8,59.986621,29.786273,география,0,Professional & Other Places
28383,['College Auditorium'],0,,5729bc1c498e17de0abf6431,59.986681,29.787121,физика,0,College & University
28385,['Auditorium'],0,,5812f5db38fa608e86471fd4,59.98638,29.789199,обж,0,Professional & Other Places
28388,['College Cafeteria'],0,,5731ab84498efc10fb4a29f3,59.986675,29.787008,Столовка,0,College & University
28390,['Auditorium'],0,,58340fa41c150950fbfb3209,59.986534,29.786667,алгебра,0,Professional & Other Places
28392,['Residential Building (Apartment / Condo)'],0,,50b731afe4b0620488ebbf79,59.98557194566453,29.787583351135254,Мануильского 45,0,Residence
28394,['Auditorium'],0,,5836b1ff6d349d05743674ce,59.986634,29.787338,кабинет английского,0,Professional & Other Places
28396,['Auditorium'],0,,5721e738498eae631ac34bbd,59.987068846852054,29.78739238350721,биология,0,Professional & Other Places
28413,['Auto Workshop'],0,,50890c0fe4b03043b56be424,59.98860070350074,29.780962671965582,Шиномонтаж АВТОритет,0,Shop & Service
28427,['Residential Building (Apartment / Condo)'],0,,505ebca1e4b0a05446abcd9a,59.98754685354185,29.785523414611816,Аммермана 25,0,Residence
28431,['Residential Building (Apartment / Condo)'],0,,5102c6cee4b0700e0466c451,59.98716046779479,29.78518009185791,"Аммермана, 29",0,Residence
28437,['Residential Building (Apartment / Condo)'],0,,5755ca64cd10abbe8e2c3cf7,59.987108,29.775114,Петровская 10/3,0,Residence
28542,['Boat or Ferry'],0,,5003d614e4b0645fedf3fbcf,59.984820361798484,29.77123458511077,Судно ПЖС-282,0,Travel & Transport
28587,['Residential Building (Apartment / Condo)'],0,,51afac37498ea27948636a36,59.997082816791576,29.76896096125614,Flotskaya 12,0,Residence
28602,['Outdoor Sculpture'],0,,5030b793e4b0a9acff9a301c,59.98509095459978,29.7708224065881,Кот И Пес,0,Arts & Entertainment
28651,['Military Base'],0,,4fbca514e4b0d4cb23fc7255,59.98982999663731,29.75999548920644,Воинская часть 37535,0,Professional & Other Places
28693,['Travel Agency'],0,,515693c7e4b04ba47d02c220,59.99233742065392,29.770758314835163,Турагенство Галактика путешествий,0,Shop & Service
28733,['Other Great Outdoors'],0,,51712b30498e38dd9c33ba51,59.99660713592428,29.760794744099655,Скверик На Посадской,0,Outdoors & Recreation
28738,['Office'],0,,508bc84a7ab401c48c6bb623,59.99583696082733,29.763035774230957,Агенство недвижимости Котлин,0,Professional & Other Places
28742,['School'],0,,52e8ce99498e75e542618760,59.99353790283203,29.76202964782715,Школа 676,0,Professional & Other Places
28759,['Butcher'],0,,52e1397111d2795917fdd173,59.99569669568672,29.765006895363314,великолукский мясокомбинат,0,Shop & Service
28772,['Nursery School'],0,,59a961179ef8ef7b9df02921,59.996826,29.76455,Детский Сад №14,0,Professional & Other Places
28815,['Ice Cream Shop'],0,,59889193db1d816c64087700,59.99746,29.766654,Мягкое Мороженое,0,Food
28829,['Cosmetics Shop'],0,,575d425f498ec4a9a922aa37,59.997423,29.767169,Карта красоты,0,Shop & Service
28833,['Hospital'],0,,4fb9fd8ce4b0be7f0390c8cc,59.99623402000617,29.758077550471626,Детская поликлиника №55,0,Professional & Other Places
28843,['Nursery School'],0,,53fac488498eacc7b134f712,60.00099116929135,29.767246034461643,Детский сад № 17 «Ёлочка»,0,Professional & Other Places
28862,['Residential Building (Apartment / Condo)'],0,,562778ec498e4228a7b34a2a,60.001537385060324,29.757051180777314,кроншоссе 6 к.2,0,Residence
28865,['Convenience Store'],0,,5302297e498ea0bb13e95a0e,60.00237718415819,29.75728992735927,Лукошко,0,Shop & Service
28867,['Historic Site'],0,,5740cd96498ec610c5ade397,60.002269,29.760609,Стелла Город воинской славы,0,Arts & Entertainment
28869,['Vegetarian / Vegan Restaurant'],0,,536e3643498e5419a44ce695,59.996517,29.766476,Душевная компания,0,Food
28881,['Playground'],0,,519cd1a5498ed2c0a38a5e2a,59.998461470187294,29.76373328702761,Детская площадка,0,Outdoors & Recreation
28886,['Fountain'],0,,5992cd5c1c675b5afd7af68a,59.99729,29.766044,фонтан с рыбками,0,Outdoors & Recreation
28887,['Bus Stop'],0,,578dc07f498e584561763ee9,59.997776,29.765884,Остановка 175,0,Travel & Transport
28888,['Candy Store'],0,,57791613498e44e0650b80d8,59.99633,29.76603,Ice Cream Ira's,0,Shop & Service
28890,['Residential Building (Apartment / Condo)'],0,,521b572a498e23db71fec4cd,60.00121516455037,29.768035632869555,"ул. Восстания, 80",0,Residence
28891,['Farmers Market'],0,,59a402268b98fd7ac68130b0,59.997539,29.766348,kronstadt market,0,Shop & Service
28892,['Salon / Barbershop'],0,,570fe44e498edc89435c79e9,60.00792356297566,29.736856280223424,"Кабинет маникюра и педикюра ""Мастер+""",0,Shop & Service
28895,['Residential Building (Apartment / Condo)'],0,,5169caf6498ec8d981789a81,59.99925221852114,29.765933655511958,"Владимирская, 47",0,Residence
28897,['Pharmacy'],0,,4f8dbfdbe4b04bd7c6076d01,59.998787516911314,29.767921279062108,"Аптека ""НатурПродукт""",0,Shop & Service
28914,['Gas Station'],0,,50bf1620e4b03730705407ec,60.00344492596842,29.759639534752832,ПТК Кронштадт,0,Shop & Service
29101,['Waterfront'],0,,5199266d498e0d5ae1e2dafd,59.867701855704,30.152320861816406,Набережная Финского залива,0,Outdoors & Recreation
29294,['Residential Building (Apartment / Condo)'],0,,5730cf42498ea744e71da441,60.002082,29.764712,Fedulov's house,0,Residence
29295,['Recreation Center'],0,,53b3b4df498e88062f0f36e7,60.015300454721014,29.788375063364256,"Аэродром ""Дельфин""",0,Outdoors & Recreation
29296,['General Entertainment'],0,,5065a95de4b0606264822991,60.00022437773858,29.763351008498525,Детская площадка,0,Arts & Entertainment
29348,['Pier'],0,,501d2aaee4b0d8552976c4bf,60.022991226878574,29.81923137612481,Пирс,0,Travel & Transport
29349,['Historic Site'],0,,51e99358498e5dee3c371fa1,60.02817,29.791476,2-й Северный,0,Arts & Entertainment
29389,['Salon / Barbershop'],0,,584ed9f38b0ebb3d3b0abac3,59.987552,29.774131,Mary lash&brows,0,Shop & Service
29393,['Residential Building (Apartment / Condo)'],0,,5516811c498e2dd5c03f741a,59.98781517432337,29.770417213439938,Петровская ул. д.16,0,Residence
29395,['Residential Building (Apartment / Condo)'],0,,517d213de4b0b546769deaf2,59.98757905215049,29.785501956939697,Аммермана 27,0,Residence
29555,['Lighthouse'],0,,501589efe4b0c3d592352e96,59.98480397469907,29.762952366506767,Усть-рогатка,0,Outdoors & Recreation
29568,['Boat or Ferry'],0,,5b7014b4f5e9d7002c3d37f5,59.984249,29.761152,эсминец 956 проекта Беспокойный,0,Travel & Transport
29573,['Historic Site'],0,,4df6c45b887712d325ce56d1,59.99046441914968,29.77441094531131,Заброшенный док,0,Arts & Entertainment
29604,['Military Base'],0,,4ffc5977e4b0283dcddc17da,59.98742199296724,29.764709765342644,База ВМФ,0,Professional & Other Places
29634,['Lake'],0,,5038a77ae4b0307ba33ddaf4,59.98878443241835,29.76408528946018,Итальянский Пруд,0,Outdoors & Recreation
29660,['Park'],0,,4fafbb25e4b03338fb549372,59.98986458832485,29.761512525091543,Парк подводников,0,Outdoors & Recreation
29667,['History Museum'],0,,4fa92bb0754a40bf156ac910,59.989392856517696,29.76299285888672,Мемориальный музей-кабинет А. С. Попова,0,Arts & Entertainment
29673,['Capitol Building'],0,,4f0bcbf6e4b097d4a2a8c6b9,59.991579865277195,29.761712408208577,Администрация Кронштадта,0,Professional & Other Places
29679,['College Arts Building'],0,,4f8c294ce4b0af04c3058e09,59.99077171672832,29.760912891212868,Художественная школа,0,College & University
29684,[],0,,4e74b9e288775d593d9fb214,59.98885554062179,29.763704586566377,Кронштадтский Матросский Клуб,0,
29695,['History Museum'],0,,5023b023e4b03cb31c68494a,59.98909994349696,29.763094140375493,Итальянский Дворец,0,Arts & Entertainment
29745,['Residential Building (Apartment / Condo)'],0,,51ba2085498e0a6cce1c07cd,59.99387123361244,29.76026494488979,Велещинского 12,0,Residence
29762,['Bath House'],0,,508bbd5ee4b09898c76e73e2,59.9942893223861,29.75831385790266,Банно-оздоровительный комплекс,0,Shop & Service
29772,['Bank'],0,,4f607c52e4b00cb4e04c92d4,59.996133308248886,29.763119919147243,Банк «Санкт-Петербург»,0,Shop & Service
29794,['Gym'],0,,4f40cbd0e4b062d5cc044348,59.99650232724269,29.76745158475053,Атлетик,0,Outdoors & Recreation
29824,['Other Great Outdoors'],0,,4f6345e8e4b045ea91b2cde9,60.003198858669904,29.75594664228408,16 Квартал,0,Outdoors & Recreation
29843,['Coworking Space'],0,,52137fe411d2b5e39a3daef5,59.99849810112723,29.76284057915852,РОСГОССТРАХ,0,Professional & Other Places
29844,['Residential Building (Apartment / Condo)'],0,,50f515d1e4b0191fd8a01137,59.99789176143297,29.763333479513996,Посадская 15,0,Residence
29877,['Arcade'],0,,58c3b28acc05d12d5ecc482d,59.99775760841372,29.765117168426514,Лимпопо,0,Arts & Entertainment
29879,['Salon / Barbershop'],0,,57c16557cd10c998b7a213ed,59.997498,29.766385,"Салон  ""Пальма""",0,Shop & Service
