address;longitude;latitude;addr_street;addr_number;addr_building;addr_letter;addr_district;comm_type;comm_num;comm_room_num;data_series;data_buildingdate;data_reconstructiondate;data_buildingarea;data_livingarea;data_nonolivingarea;data_stairs;data_storeys;data_residents;data_mansardarea;eng_heatingcentral;eng_heatingauto;eng_heatingfire;eng_hotwater;eng_hotwatergas;eng_hotwaterwood;eng_electro;eng_gascentral;eng_gasnoncentral;eng_refusechute;flat_type;flat_num;flat_room_num;internal_num;lift_exploitfromdate;lift_reconstructiondate;lift_repairdate;outclean_all;param_crdate;param_ukname;param_failure;repair_year;repair_job;rfc_shaftcount;roof_metalarea;seng_liftcount;seng_pzu;special_basementarea;number
г. Кронштадт Аммермана ул. 15/10;29.787811;59.990561;Аммермана ул.;15/10;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 1, 0, 0, 0, 0;0, 3, 0, 0, 0, 0;Индивидуальный;1900;1976;2840.17993164;1828.09997559;551;4;3;76;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 5, 16, 1, 0, 0, 0;0, 10, 48, 4, 0, 0, 0;2;;;;1008;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2009; 2009; 2009; 2009; 2009; 2010; 2011";"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт системы электроснабжения; Ремонт фасада";;1737;;2;774;7251
г. Кронштадт Флотская ул. 29/9;29.768614;59.998216;Флотская ул.;29/9;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 2, 0, 0, 0, 0;0, 6, 0, 0, 0, 0;Индивидуальный;1900;1973;2178.60009766;1303.40002441;650;4;3;42;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;2, 8, 8, 0, 0, 0, 0;2, 16, 24, 0, 0, 0, 0;;;;;454;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2006; 2014";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;1196;;4;;7337
г. Кронштадт Петровская ул. 8к1;29.777032;59.987033;Петровская ул.;8;1;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0;Индивидуальный;1974;;2859.30004883;2467.80004883;;3;5;135;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;1;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;12, 25, 11, 0, 0, 0, 0;12, 50, 33, 0, 0, 0, 0;;;;;619;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;2008;Ремонт конструкций и замена покрытий крыш;3;;;3;756;7348
г. Кронштадт Посадская ул. 47;29.757817;59.99193;Посадская ул.;47;;А;Кронштадский;3 комн.;1;3;Индивидуальный;1900;1976;556.770019531;493.5;0.0;1;3;27;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн.;5, 2;10, 6;;;;;248;16.03.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2008; 2012; 2012; 2012; 2012; 2012";"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";;342;;1;;7429
г. Кронштадт Андреевская ул. 9;29.760952;59.996677;Андреевская ул.;9;;А;Кронштадский;;;;Индивидуальный;1979;;2419.5;2116.10009766;;3;4;105;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;20, 14, 12;20, 28, 36;;;;;2603;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2005; 2005";"Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш";;;;3;563;7508
г. Кронштадт Цитадельское ш. 45/12;29.71644;60.008176;Цитадельское ш.;45/12;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0;Индивидуальный;1986;;10290.0996094;8639.09960938;;4;12;483;;1;0.0;0.0;1;0.0;0.0;1;0.0;0.0;1;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;45, 69, 58, 0, 0, 0, 0;45, 138, 174, 0, 0, 0, 0;;1987;;;3462;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2008; 2008; 2008";"Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш";4;;5;4;1800;7567
г. Кронштадт Ленина пр. 49;29.761733;59.992123;Ленина пр.;49;;А;Кронштадский;2 комн.;1;2;Индивидуальный;1900;1980;2192.19995117;906.5;1054.30004883;3;4;51;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;2, 11, 2;2, 22, 6;2;;;;598;16.03.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2011; 2013";"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;976.799987793;;4;765;7571
г. Кронштадт Карла Либкнехта ул. 15а;29.783293;59.993518;Карла Либкнехта ул.;15а;;А;Кронштадский;;;;Индивидуальный;1932;1991;3624.30004883;3078.60009766;;3;5;149;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;21, 15, 19;21, 30, 57;;1932;;1991;2987;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;2006;Благоустройство придомовой территории;;1209;3;3;960;7721
г. Кронштадт Восстания ул. 26;29.784047;59.994643;Восстания ул.;26;;А;Кронштадский;2 комн.;1;2;Индивидуальный;1965;;3809.30004883;3450.30004883;;4;5;180;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;10, 59, 10;10, 118, 30;;;;;1112;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2006; 2011; 2013; 2013; 2013";"Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";;;;3;924;7751
г. Кронштадт Посадская ул. 22;29.762856;59.997032;Посадская ул.;22;;А;Кронштадский;3 комн.;0;0;Индивидуальный;1935;1985;3721.30004883;3194.30004883;;7;4;178;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;5, 31, 24;5, 62, 72;;;;;2104;14.12.2009;"ООО ""ЖКС Кронштадтского района""";0.0;2015;Ремонт конструкций и замена покрытий крыш;;1558;;7;1035.4699707;7930
